Entity1_id	Entity1_name	Entity1_type	Entity2_id	Entity2_name	Entity2_type	Evidence	Association	PK	PD	PMIDs	Entity1_id_orig
P04626	ERBB2	Gene	PA166184523	alpelisib	Chemical	LabelAnnotation	associated				PA27844
P04626	ERBB2	Gene	PA166184566	tipiracil / trifluridine	Chemical	LabelAnnotation	associated				PA27844
P04626	ERBB2	Gene	PA166190621	fam-trastuzumab deruxtecan-nxki	Chemical	LabelAnnotation	associated				PA27844
P04626	ERBB2	Gene	PA448803	carboplatin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	30071039	PA27844
Q92887	ABCC2	Gene	PA10069	emtricitabine	Chemical	VariantAnnotation	associated	PK		30767719	PA116
Q92887	ABCC2	Gene	PA10233	voriconazole	Chemical	VariantAnnotation	associated	PK		29914286	PA116
Q92887	ABCC2	Gene	PA10251	atazanavir	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	26287941	PA116
Q92887	ABCC2	Gene	PA10804	imatinib	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	30237583	PA116
Q92887	ABCC2	Gene	PA10810	pemetrexed	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD		PA116
Q92887	ABCC2	Gene	PA128406956	fluorouracil	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	23314736	PA116
Q92887	ABCC2	Gene	PA131285527	oxaliplatin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	23314736	PA116
Q92887	ABCC2	Gene	PA132595336	calcein	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK		22027652	PA116
Q92887	ABCC2	Gene	PA133950441	hmg coa reductase inhibitors	Chemical	Pathway	associated				PA116
Q92887	ABCC2	Gene	PA134308647	rosuvastatin	Chemical	VariantAnnotation	associated	PK		30100615	PA116
Q92887	ABCC2	Gene	PA142650384	pitavastatin	Chemical	ClinicalAnnotation	associated	PK		23007012	PA116
Q92887	ABCC2	Gene	PA164760843	deferasirox	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	25348619;26403473;28346059	PA116
Q92887	ABCC2	Gene	PA165110775	SN-38	Chemical	Pathway	associated				PA116
Q92887	ABCC2	Gene	PA165958349	trabectedin	Chemical	VariantAnnotation	associated		PD	24024892	PA116
Q92887	ABCC2	Gene	PA448866	ceftriaxone	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK		29873816	PA116
Q92887	ABCC2	Gene	PA449165	cyclophosphamide	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	24599932	PA116
Q92887	ABCC2	Gene	PA449293	diclofenac	Chemical	VariantAnnotation	associated		PD	17241877	PA116
Q92887	ABCC2	Gene	PA449441	efavirenz	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK		26774523	PA116
Q92887	ABCC2	Gene	PA449476	epirubicin	Chemical	VariantAnnotation	associated		PD	24599932	PA116
Q92887	ABCC2	Gene	PA449493	erythromycin	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK			PA116
Q92887	ABCC2	Gene	PA450163	lamivudine	Chemical	Pathway	associated				PA116
Q92887	ABCC2	Gene	PA450198	leucovorin	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	23069858;23314736	PA116
Q92887	ABCC2	Gene	PA450272	lovastatin	Chemical	Pathway	associated				PA116
Q92887	ABCC2	Gene	PA450761	paclitaxel	Chemical	Pathway,VariantAnnotation	associated		PD	21151855;24599932	PA116
Q92887	ABCC2	Gene	PA451260	ritonavir	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	26287941	PA116
Q92887	ABCC2	Gene	PA451363	simvastatin	Chemical	ClinicalAnnotation,Pathway,VariantAnnotation	associated		PD	22186618;30024814	PA116
Q92887	ABCC2	Gene	PA7000	sorafenib	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	23237922	PA116
P56524	HDAC4	Gene	PA451609	temozolomide	Chemical	MultilinkAnnotation	associated			24444404	PA29229
P13945	ADRB3	Gene	PA164713347	Thiazides, plain	Chemical	VariantAnnotation	associated		PD	15824464	PA24598
P13945	ADRB3	Gene	PA450688	olanzapine	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	19193342	PA24598
Q8IWU9	TPH2	Gene	PA164713257	Selective serotonin reuptake inhibitors	Chemical	Literature,MultilinkAnnotation	associated			24930681	PA128747823
Q8IWU9	TPH2	Gene	PA450522	mirtazapine	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	18496129	PA128747823
Q8IWU9	TPH2	Gene	PA452229	antidepressants	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	18496129	PA128747823
O60909	B4GALT2	Gene	PA448497	aspirin	Chemical	VariantAnnotation	associated		PD	30020015	PA25224
O60909	B4GALT2	Gene	PA449053	clopidogrel	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	30020015	PA25224
P48546	GIPR	Gene	PA450688	olanzapine	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	21747410;25321336	PA28682
Q99523	SORT1	Gene	PA133950441	hmg coa reductase inhibitors	Chemical	VariantAnnotation	associated		PD		PA36023
P51649	ALDH5A1	Gene	PA450401	methadone	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	24230997	PA24702
P51649	ALDH5A1	Gene	PA451846	valproic acid	Chemical	Pathway	associated			23407051	PA24702
P00480	OTC	Gene	PA166114316	sodium phenylbutyrate	Chemical	LabelAnnotation	associated				PA32840
P00480	OTC	Gene	PA166176020	sodium benzoate / sodium phenylacetate	Chemical	LabelAnnotation	associated				PA32840
P00480	OTC	Gene	PA451846	valproic acid	Chemical	LabelAnnotation	associated				PA32840
P01130	LDLR	Gene	PA166114922	lomitapide	Chemical	LabelAnnotation	associated				PA227
P01130	LDLR	Gene	PA166114927	mipomersen	Chemical	LabelAnnotation	associated				PA227
P01130	LDLR	Gene	PA166159961	alirocumab	Chemical	LabelAnnotation	associated				PA227
P01130	LDLR	Gene	PA166160027	evolocumab	Chemical	LabelAnnotation	associated				PA227
P01130	LDLR	Gene	PA448499	atenolol	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD		PA227
P01130	LDLR	Gene	PA450272	lovastatin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	16103896	PA227
P01130	LDLR	Gene	PA451089	pravastatin	Chemical	ClinicalAnnotation,LabelAnnotation,VariantAnnotation	associated		PD		PA227
Q13492	PICALM	Gene	PA10407	calcium channel blockers	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	24192120	PA33287
Q8NET6	CHST13	Gene	PA449782	glibenclamide	Chemical	VariantAnnotation	associated		PD	27403931	PA134976803
Q99619	SPSB2	Gene	PA450464	methylphenidate	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	29382897	PA142670872
O15438	ABCC3	Gene	PA166131340	morphine-3-glucuronide	Chemical	VariantAnnotation	associated	PK			PA376
O15438	ABCC3	Gene	PA448691	busulfan	Chemical	VariantAnnotation	associated		PD		PA376
O15438	ABCC3	Gene	PA449165	cyclophosphamide	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	22016816	PA376
O15438	ABCC3	Gene	PA449177	cytarabine	Chemical	VariantAnnotation	associated		PD		PA376
O15438	ABCC3	Gene	PA449412	doxorubicin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	22016816	PA376
O15438	ABCC3	Gene	PA449552	etoposide	Chemical	VariantAnnotation	associated		PD		PA376
O15438	ABCC3	Gene	PA450163	lamivudine	Chemical	Pathway	associated				PA376
O15438	ABCC3	Gene	PA450550	morphine	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK		25155932	PA376
O15438	ABCC3	Gene	PA451879	vincristine	Chemical	ClinicalAnnotation,Pathway,VariantAnnotation	associated		PD	22016816	PA376
O15438	ABCC3	Gene	PA452633	morphine-6-glucuronide	Chemical	VariantAnnotation	associated	PK			PA376
P16435	POR	Gene	PA10888	clobazam	Chemical	VariantAnnotation	associated	PK		24345815	PA33532
P16435	POR	Gene	PA162372840	sunitinib	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	28117434	PA33532
P16435	POR	Gene	PA448500	atorvastatin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	25521355	PA33532
P16435	POR	Gene	PA450401	methadone	Chemical	VariantAnnotation	associated	PK		27286724	PA33532
P16435	POR	Gene	PA450496	midazolam	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK		19801957;23324807	PA33532
P16435	POR	Gene	PA450626	nicotine	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK			PA33532
P16435	POR	Gene	PA451954	zidovudine	Chemical	Pathway	associated			22960662	PA33532
Q96LT7	C9orf72	Gene	PA164713366	Tumor necrosis factor alpha (TNF-alpha) inhibitors	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD		PA134908144
Q96LT7	C9orf72	Gene	PA166048654	ustekinumab	Chemical	VariantAnnotation	associated		PD	27977334	PA134908144
Q99447	PCYT2	Gene	PA450163	lamivudine	Chemical	Pathway	associated				PA33101
Q16558	KCNMB1	Gene	PA451868	verapamil	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	17700361;18496125;18854753	PA221
P02649	APOE	Gene	PA133950441	hmg coa reductase inhibitors	Chemical	ClinicalAnnotation	associated		PD		PA55
P02649	APOE	Gene	PA164712505	Antivirals for treatment of HIV infections, combinations	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	15809899;17700364	PA55
P02649	APOE	Gene	PA449594	fenofibrate	Chemical	ClinicalAnnotation	associated		PD	12042669	PA55
P02649	APOE	Gene	PA449688	fluvastatin	Chemical	ClinicalAnnotation	associated		PD	17289397;30363031	PA55
P02649	APOE	Gene	PA451089	pravastatin	Chemical	ClinicalAnnotation,LabelAnnotation,VariantAnnotation	associated		PD	17289397;19667110	PA55
P02649	APOE	Gene	PA451260	ritonavir	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	15809899;17700364	PA55
Q8IXH7	NELFCD	Gene	PA151249535	diuretics	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD		PA38055
Q8IXH7	NELFCD	Gene	PA164713347	Thiazides, plain	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD		PA38055
Q8IXH7	NELFCD	Gene	PA449899	hydrochlorothiazide	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD		PA38055
O15439	ABCC4	Gene	PA10005	adefovir dipivoxil	Chemical	Pathway	associated				PA397
O15439	ABCC4	Gene	PA10804	imatinib	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	23127916	PA397
O15439	ABCC4	Gene	PA128406956	fluorouracil	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	19696793	PA397
O15439	ABCC4	Gene	PA164712563	Bisphosphonates	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD		PA397
O15439	ABCC4	Gene	PA166163418	rucaparib	Chemical	LabelAnnotation	associated				PA397
O15439	ABCC4	Gene	PA448515	azathioprine	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	20393862	PA397
O15439	ABCC4	Gene	PA449014	cisplatin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	23478653	PA397
O15439	ABCC4	Gene	PA449177	cytarabine	Chemical	MultilinkAnnotation	associated			26842729	PA397
O15439	ABCC4	Gene	PA449412	doxorubicin	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	19696793	PA397
O15439	ABCC4	Gene	PA449719	furosemide	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	26927285	PA397
O15439	ABCC4	Gene	PA449977	indinavir	Chemical	VariantAnnotation	associated	PK		16791115	PA397
O15439	ABCC4	Gene	PA450085	irinotecan	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	23478653	PA397
O15439	ABCC4	Gene	PA450163	lamivudine	Chemical	Pathway,VariantAnnotation	associated	PK		16791115	PA397
O15439	ABCC4	Gene	PA450523	misoprostol	Chemical	VariantAnnotation	associated		PD	26122863	PA397
O15439	ABCC4	Gene	PA451663	thioguanine	Chemical	VariantAnnotation	associated	PK			PA397
O15439	ABCC4	Gene	PA451954	zidovudine	Chemical	ClinicalAnnotation,Pathway,VariantAnnotation	associated	PK		16791115;22960662	PA397
O15439	ABCC4	Gene	PA452621	antineoplastic agents	Chemical	VariantAnnotation	associated		PD	19515727	PA397
Q8TEW8	PARD3B	Gene	PA128406956	fluorouracil	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	22310351	PA162398721
Q8TEW8	PARD3B	Gene	PA131285527	oxaliplatin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	22310351	PA162398721
O60706	ABCC9	Gene	PA449212	daunorubicin	Chemical	VariantAnnotation	associated		PD	26230641	PA396
O60706	ABCC9	Gene	PA449412	doxorubicin	Chemical	VariantAnnotation	associated		PD	26230641	PA396
O60706	ABCC9	Gene	PA450546	montelukast	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK		28940478	PA396
P80404	ABAT	Gene	PA451846	valproic acid	Chemical	Pathway,VariantAnnotation	associated		PD	23407051;27918244	PA24372
P16949	STMN1	Gene	PA150595617	platinum	Chemical	VariantAnnotation	associated		PD		PA35491
P16949	STMN1	Gene	PA451881	vinorelbine	Chemical	VariantAnnotation	associated		PD		PA35491
P07992	ERCC1	Gene	PA150595617	platinum	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	18347182;19362955;19786980;21057378;21262916;21902499;22026922;22188361;22329723;25069034;27498158;29662106	PA155
P07992	ERCC1	Gene	PA449412	doxorubicin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD		PA155
P07992	ERCC1	Gene	PA450198	leucovorin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	20385995;21057378;23314736	PA155
P07992	ERCC1	Gene	PA451644	thalidomide	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	21435719	PA155
P51589	CYP2J2	Gene	PA164746058	albendazole	Chemical	VipGene	associated			19923256	PA27112
P51589	CYP2J2	Gene	PA164749056	danazol	Chemical	VipGene	associated			19923256	PA27112
P51589	CYP2J2	Gene	PA448383	amiodarone	Chemical	VipGene	associated			19923256	PA27112
P51589	CYP2J2	Gene	PA448498	astemizole	Chemical	VipGene	associated			15861034	PA27112
P51589	CYP2J2	Gene	PA449212	daunorubicin	Chemical	VariantAnnotation	associated		PD	26230641	PA27112
P51589	CYP2J2	Gene	PA449293	diclofenac	Chemical	VipGene	associated			15861034	PA27112
P51589	CYP2J2	Gene	PA449412	doxorubicin	Chemical	VariantAnnotation	associated		PD	26230641	PA27112
P51589	CYP2J2	Gene	PA450386	mesoridazine	Chemical	VipGene	associated			19923256	PA27112
P51589	CYP2J2	Gene	PA450572	nabumetone	Chemical	VipGene	associated			19923256	PA27112
P51589	CYP2J2	Gene	PA451578	tacrolimus	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	28316087	PA27112
P51589	CYP2J2	Gene	PA451619	terfenadine	Chemical	VipGene	associated			15861034	PA27112
P51589	CYP2J2	Gene	PA451666	thioridazine	Chemical	VipGene	associated			19923256	PA27112
P05305	EDN1	Gene	PA130232992	bevacizumab	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	27139155	PA27614
P05305	EDN1	Gene	PA162356187	muraglitazar	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	18794727	PA27614
Q6IQ16	SPOPL	Gene	PA450688	olanzapine	Chemical	ClinicalAnnotation	associated		PD		PA162404650
P04198	MYCN	Gene	PA166160060	dinutuximab	Chemical	LabelAnnotation	associated				PA31359
O00337	SLC28A1	Gene	PA130620651	anthracyclines and related substances	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	21900104;23441093	PA387
O00337	SLC28A1	Gene	PA166180985	ara-CTP	Chemical	VariantAnnotation	associated	PK		30088438	PA387
O00337	SLC28A1	Gene	PA451954	zidovudine	Chemical	Pathway	associated			22960662	PA387
P04040	CAT	Gene	PA448073	ethanol	Chemical	ClinicalAnnotation,VariantAnnotation	associated			25514903	PA26099
O95180	CACNA1H	Gene	PA448871	celecoxib	Chemical	Pathway	associated			22336956	PA380
O00258	WRB	Gene	PA450464	methylphenidate	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	29382897	PA37391
P20020	ATP2B1	Gene	PA133950441	hmg coa reductase inhibitors	Chemical	VariantAnnotation	associated		PD		PA25107
P20020	ATP2B1	Gene	PA164712445	Antihypertensives	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	25385345	PA25107
P54289	CACNA2D1	Gene	PA448871	celecoxib	Chemical	Pathway	associated			22336956	PA86
P48357	LEPR	Gene	PA448500	atorvastatin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	19023160	PA229
P48357	LEPR	Gene	PA451363	simvastatin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	14625131;18854995	PA229
P48357	LEPR	Gene	PA451846	valproic acid	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD		PA229
P48357	LEPR	Gene	PA452233	antipsychotics	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	21510767	PA229
O75469	NR1I2	Gene	PA10004	adalimumab	Chemical	VariantAnnotation	associated		PD	25712183	PA378
O75469	NR1I2	Gene	PA10034	bosentan	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA10049	cyproterone	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA10364	memantine	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK		23371894	PA378
O75469	NR1I2	Gene	PA127840611	troleandomycin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA134308647	rosuvastatin	Chemical	VariantAnnotation	associated	PK		30100615	PA378
O75469	NR1I2	Gene	PA146096022	forskolin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA150481189	taxanes	Chemical	MultilinkAnnotation	associated			27561454	PA378
O75469	NR1I2	Gene	PA162372840	sunitinib	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	21097692;24874929;25344452	PA378
O75469	NR1I2	Gene	PA164743137	permethrin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA164745442	penicillin v	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA164745513	demeclocycline	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA164746010	econazole	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA164748964	sulfisoxazole	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA164749137	cefaclor	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA164749649	dicloxacillin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA164752250	bexarotene	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA164754742	oxiconazole	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA164771231	etonogestrel	Chemical	VariantAnnotation	associated	PK	PD	30870275	PA378
O75469	NR1I2	Gene	PA164781042	flucloxacillin	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	20222094	PA378
O75469	NR1I2	Gene	PA164783809	rifapentine	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA164924486	st. john's wort	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA165111696	artemisinin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA165291492	pazopanib	Chemical	VariantAnnotation	associated		PD	21576632	PA378
O75469	NR1I2	Gene	PA166114961	dolutegravir	Chemical	LabelAnnotation	associated				PA378
O75469	NR1I2	Gene	PA448406	amoxicillin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA448419	ampicillin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA448500	atorvastatin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA448681	budesonide	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA448803	carboplatin	Chemical	VariantAnnotation	associated		PD	26267044	PA378
O75469	NR1I2	Gene	PA448835	cefadroxil	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA448868	cefuroxime	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA448883	cephalexin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA448890	cefradine	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA448964	chlorpromazine	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449014	cisplatin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449035	clindamycin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449057	clotrimazole	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449167	cyclosporine	Chemical	Literature,MultilinkAnnotation,VariantAnnotation	associated	PK	PD	20107201;24088131	PA378
O75469	NR1I2	Gene	PA449247	dexamethasone	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449307	diethylstilbestrol	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449383	docetaxel	Chemical	ClinicalAnnotation,VariantAnnotation,VipGene	associated		PD	24193570	PA378
O75469	NR1I2	Gene	PA449412	doxorubicin	Chemical	MultilinkAnnotation	associated			27561454	PA378
O75469	NR1I2	Gene	PA449415	doxycycline	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449493	erythromycin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449685	flutamide	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449688	fluvastatin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449782	glibenclamide	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449814	griseofulvin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449905	hydrocortisone	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA449964	ifosfamide	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA450112	isoniazid	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA450131	isradipine	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA450180	lansoprazole	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA450272	lovastatin	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA450395	metformin	Chemical	Pathway	associated			22722338	PA378
O75469	NR1I2	Gene	PA450401	methadone	Chemical	VipGene	associated				PA378
O75469	NR1I2	Gene	PA450428	methotrexate	Chemical	VariantAnnotation	associated	PK	PD		PA378
